Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
Zoanthid (ZO);0.53;;0,53;#DIV/0!;#DIV/0!;;
MACROALGAE (MA);;;;;;;
Amphiroa (AMP);0;;0;#DIV/0!;#DIV/0!;;
Dictyota (DICT);7.9;;7,9;#DIV/0!;#DIV/0!;;
Halimeda (HALI);0;;0;#DIV/0!;#DIV/0!;;
Liagora (LIAG);0;;0;#DIV/0!;#DIV/0!;;
Lobophora (LOBO);0.21;;0,21;#DIV/0!;#DIV/0!;;
Macroalgae (MACA);0;;0;#DIV/0!;#DIV/0!;;
Padina (PAD);0;;0;#DIV/0!;#DIV/0!;;
Peyssonnelid (PEY);0.11;;0,11;#DIV/0!;#DIV/0!;;
Porolithon (POR);0;;0;#DIV/0!;#DIV/0!;;
Sargassum (SARG);0;;0;#DIV/0!;#DIV/0!;;
Schizothrix (SCHIZ);0;;0;#DIV/0!;#DIV/0!;;
Stypopodium (STY);0;;0;#DIV/0!;#DIV/0!;;
Turbinaria (TURB);0;;0;#DIV/0!;#DIV/0!;;
Turf (TURF);44.47;;44,47;#DIV/0!;#DIV/0!;;
Wrangelia (WRAN);0;;0;#DIV/0!;#DIV/0!;;
OTHER LIVE (OL);;;;;;;
Ascidian (ASC);0;;0;#DIV/0!;#DIV/0!;;
Cyanobacteria (CYAN);0.53;;0,53;#DIV/0!;#DIV/0!;;
Halophylla (HALPH);0;;0;#DIV/0!;#DIV/0!;;
Other (O);0.05;;0,05;#DIV/0!;#DIV/0!;;
Tunicate (TSOL);0;;0;#DIV/0!;#DIV/0!;;
DEAD CORAL WITH ALGAE (DCA);;;;;;;
Dead coral with algae (DCA);0.27;;0,27;#DIV/0!;#DIV/0!;;
Dead gorgonian (DG);0;;0;#DIV/0!;#DIV/0!;;
Old dead coral (ODC);0;;0;#DIV/0!;#DIV/0!;;
Recently dead coral (RDC);0;;0;#DIV/0!;#DIV/0!;;
CORALLINE ALGAE (CA);;;;;;;
Coralline algae (CALG);9.34;;9,34;#DIV/0!;#DIV/0!;;
DISEASED CORALS (DC);;;;;;;
Diseased coral (DCOR);0;;0;#DIV/0!;#DIV/0!;;
SAND, PAVEMENT, RUBBLE (SPR);;;;;;;
Pavement (P);0;;0;#DIV/0!;#DIV/0!;;
Rubble (R);1.66;;1,66;#DIV/0!;#DIV/0!;;
Sand (S);3.36;;3,36;#DIV/0!;#DIV/0!;;
UNKNOWNS (U);;;;;;;
Unknown (UNK);0.05;;0,05;#DIV/0!;#DIV/0!;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;;0;#DIV/0!;#DIV/0!;;
Tape (TAPE);0;;0;#DIV/0!;#DIV/0!;;
Wand (WAND);0.05;;0,05;#DIV/0!;#DIV/0!;;
;;;;;;;
NOTES (% of transect);;;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);0.21;;0,21;#DIV/0!;#DIV/0!;;
Other disease (OD);0;;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;;0;#DIV/0!;#DIV/0!;;
NOTES (% of coral);;;;;;;
Aspergillus (ASP);0;;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);1.79;;1,79;#DIV/0!;#DIV/0!;;
Other disease (OD);0;;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;;0;#DIV/0!;#DIV/0!;;
;;;;;;;
MAJOR CATEGORY (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;SW INDEX;SIMPSON (1-D)
CORAL (C);112;112;112;#DIV/0!;#DIV/0!;1,69;0,67
GORGONIANS (G);168;168;168;#DIV/0!;#DIV/0!;0;0
SPONGES (S);310;310;310;#DIV/0!;#DIV/0!;0;0
ZOANTHIDS (Z);10;10;10;#DIV/0!;#DIV/0!;0;0
MACROALGAE (MA);987;987;987;#DIV/0!;#DIV/0!;0,46;0,27
OTHER LIVE (OL);11;11;11;#DIV/0!;#DIV/0!;0,3;0,17
DEAD CORAL WITH ALGAE (DCA);5;5;5;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);175;175;175;#DIV/0!;#DIV/0!;0;0
DISEASED CORALS (DC);0;0;0;#DIV/0!;#DIV/0!;0;1
SAND, PAVEMENT, RUBBLE (SPR);94;94;94;#DIV/0!;#DIV/0!;0,63;0,44
UNKNOWNS (U);1;1;1;#DIV/0!;#DIV/0!;0;0
TAPE, WAND, SHADOW (TWS);1;1;1;#DIV/0!;#DIV/0!;;
TOTAL TRANSECT POINTS;1874;1874;;;;;
;;;;;;;
SUBCATEGORIES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;SW INDEX;SIMPSON (1-D)
CORAL (C);;;;;;1,69;0,67
Acropora cervicornis (AC);0;0;0;#DIV/0!;#DIV/0!;0;0
Acropora palmata (AP);0;0;0;#DIV/0!;#DIV/0!;0;0
Acropora prolifera (APR);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia agaricites (AA);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Agaricia fragilis (AF);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia grahamae (AG);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia lamarcki (AL);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia tenuifolia (AT);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia undata (AU);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia breviserialis (CB);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia natans (CN);0;0;0;#DIV/0!;#DIV/0!;0;0
Coral (general) (CORAL);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Coral juvenile (CORJU);0;0;0;#DIV/0!;#DIV/0!;0;0
Dendrogyra cylindrus (DCY);0;0;0;#DIV/0!;#DIV/0!;0;0
Dichocoenia stellaris (DST);0;0;0;#DIV/0!;#DIV/0!;0;0
Dichocoenia stokesi (DSO);0;0;0;#DIV/0!;#DIV/0!;0;0
Diploria clivosa (DC);0;0;0;#DIV/0!;#DIV/0!;0;0
Diploria labyrinthiformis (DL);3;3;3;#DIV/0!;#DIV/0!;0,1;0
Diploria strigosa (DS);5;5;5;#DIV/0!;#DIV/0!;0,14;0
Eusmilia fastigiata (EF);0;0;0;#DIV/0!;#DIV/0!;0;0
Favia fragum (FF);0;0;0;#DIV/0!;#DIV/0!;0;0
Isophyllia sinuosa (IS);0;0;0;#DIV/0!;#DIV/0!;0;0
Leptoseris cucullata (LC);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis decactis (MD);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis mirabilis (MM);0;0;0;#DIV/0!;#DIV/0!;0;0
Manicina areolata (MAR);0;0;0;#DIV/0!;#DIV/0!;0;0
Meandrina meandrites (MME);0;0;0;#DIV/0!;#DIV/0!;0;0
Millipora alcicornis (MILA);7;7;7;#DIV/0!;#DIV/0!;0,17;0
Millipora complanata (MILC);61;61;61;#DIV/0!;#DIV/0!;0,33;0,3
Millipora squarrosa (MILS);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea annularis (MA);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea cavernosa (MC);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Montastrea faveolata (MFAV);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Montastrea franksi (MFRN);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Mussa angulosa (MAN);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia aliciae (MAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia danaana (MDA);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia ferox (MF);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia lamarckiana (ML);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Oculina diffusa (OD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites astreoides (PA);12;12;12;#DIV/0!;#DIV/0!;0,24;0,01
Porites branneri (PB);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites divaricata (PD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites furcata (PF);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites porites (PP);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia cubensis (SC);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia lacera (SL);0;0;0;#DIV/0!;#DIV/0!;0;0
Siderastrea radians (SR);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Siderastrea siderea (SS);11;11;11;#DIV/0!;#DIV/0!;0,23;0,01
Solenastrea bournoni (SB);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Solenastrea hyades (SH);0;0;0;#DIV/0!;#DIV/0!;0;0
Stephanocoenia michelinii (SM);0;0;0;#DIV/0!;#DIV/0!;0;0
Tubastraea aurea (TA);0;0;0;#DIV/0!;#DIV/0!;0;0
GORGONIANS (G);;;;;;0;0
Briareum (BRI);0;0;0;#DIV/0!;#DIV/0!;0;0
Erythropodium (ERY);0;0;0;#DIV/0!;#DIV/0!;0;0
Eunicea (EUN);0;0;0;#DIV/0!;#DIV/0!;0;0
Gorgonian (GORG);168;168;168;#DIV/0!;#DIV/0!;0;1
Iciligorgia (ICIL);0;0;0;#DIV/0!;#DIV/0!;0;0
Muricea (MUR);0;0;0;#DIV/0!;#DIV/0!;0;0
Muriceopsis (MOPS);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaura (PAURA);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaurella (PRELA);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudoplexaura (PSDP);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudopterogorgia (PSPT);0;0;0;#DIV/0!;#DIV/0!;0;0
Pterogorgia (PTER);0;0;0;#DIV/0!;#DIV/0!;0;0
SPONGES (S);;;;;;0;0
Sponge (SPO);310;310;310;#DIV/0!;#DIV/0!;0;1
ZOANTHIDS (Z);;;;;;0;0
Palythoa sp. (PAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Zoanthid (ZO);10;10;10;#DIV/0!;#DIV/0!;0;1
MACROALGAE (MA);;;;;;0,46;0,27
Amphiroa (AMP);0;0;0;#DIV/0!;#DIV/0!;0;0
Dictyota (DICT);148;148;148;#DIV/0!;#DIV/0!;0,28;0,02
Halimeda (HALI);0;0;0;#DIV/0!;#DIV/0!;0;0
Liagora (LIAG);0;0;0;#DIV/0!;#DIV/0!;0;0
Lobophora (LOBO);4;4;4;#DIV/0!;#DIV/0!;0,02;0
Macroalgae (MACA);0;0;0;#DIV/0!;#DIV/0!;0;0
Padina (PAD);0;0;0;#DIV/0!;#DIV/0!;0;0
Peyssonnelid (PEY);2;2;2;#DIV/0!;#DIV/0!;0,01;0
Porolithon (POR);0;0;0;#DIV/0!;#DIV/0!;0;0
Sargassum (SARG);0;0;0;#DIV/0!;#DIV/0!;0;0
Schizothrix (SCHIZ);0;0;0;#DIV/0!;#DIV/0!;0;0
Stypopodium (STY);0;0;0;#DIV/0!;#DIV/0!;0;0
Turbinaria (TURB);0;0;0;#DIV/0!;#DIV/0!;0;0
Turf (TURF);833;833;833;#DIV/0!;#DIV/0!;0,14;0,71
Wrangelia (WRAN);0;0;0;#DIV/0!;#DIV/0!;0;0
OTHER LIVE (OL);;;;;;0,3;0,17
Ascidian (ASC);0;0;0;#DIV/0!;#DIV/0!;0;0
Cyanobacteria (CYAN);10;10;10;#DIV/0!;#DIV/0!;0,09;0,83
Halophylla (HALPH);0;0;0;#DIV/0!;#DIV/0!;0;0
Other (O);1;1;1;#DIV/0!;#DIV/0!;0,22;0,01
Tunicate (TSOL);0;0;0;#DIV/0!;#DIV/0!;0;0
DEAD CORAL WITH ALGAE (DCA);;;;;;0;0
Dead coral with algae (DCA);5;5;5;#DIV/0!;#DIV/0!;0;1
Dead gorgonian (DG);0;0;0;#DIV/0!;#DIV/0!;0;0
Old dead coral (ODC);0;0;0;#DIV/0!;#DIV/0!;0;0
Recently dead coral (RDC);0;0;0;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);;;;;;0;0
Coralline algae (CALG);175;175;175;#DIV/0!;#DIV/0!;0;1
DISEASED CORALS (DC);;;;;;0;1
Diseased coral (DCOR);0;0;0;#DIV/0!;#DIV/0!;0;0
SAND, PAVEMENT, RUBBLE (SPR);;;;;;0,63;0,44
Pavement (P);0;0;0;#DIV/0!;#DIV/0!;0;0
Rubble (R);31;31;31;#DIV/0!;#DIV/0!;0,37;0,11
Sand (S);63;63;63;#DIV/0!;#DIV/0!;0,27;0,45
UNKNOWNS (U);;;;;;0;0
Unknown (UNK);1;1;1;#DIV/0!;#DIV/0!;0;1
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;0;0;#DIV/0!;#DIV/0!;;0
Tape (TAPE);0;0;0;#DIV/0!;#DIV/0!;;0
Wand (WAND);1;1;1;#DIV/0!;#DIV/0!;;1
;;;;;;;
NOTES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);4;4;4;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
NOTES (occurring in coral);;;;;;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);2;2;2;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
;;;;;;;
Shannon-Weaver Index;1.47;;;;;;
CORAL (C);0.17;;;;;;
GORGONIANS (G);0.22;;;;;;
SPONGES (S);0.3;;;;;;
ZOANTHIDS (Z);0.03;;;;;;
MACROALGAE (MA);0.34;;;;;;
OTHER LIVE (OL);0.03;;;;;;
DEAD CORAL WITH ALGAE (DCA);0.02;;;;;;
CORALLINE ALGAE (CA);0.22;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0.15;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Simpson Index of Diversity (1-D);0.67;;;;;;
CORAL (C);0;;;;;;
GORGONIANS (G);0.01;;;;;;
SPONGES (S);0.03;;;;;;
ZOANTHIDS (Z);0;;;;;;
MACROALGAE (MA);0.28;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0.01;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
