Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
Diploria clivosa (DC);0;0;0;#DIV/0!;#DIV/0!;0;0
Diploria labyrinthiformis (DL);2;2;2;#DIV/0!;#DIV/0!;0,17;0
Diploria strigosa (DS);1;1;1;#DIV/0!;#DIV/0!;0,11;0
Eusmilia fastigiata (EF);0;0;0;#DIV/0!;#DIV/0!;0;0
Favia fragum (FF);0;0;0;#DIV/0!;#DIV/0!;0;0
Isophyllia sinuosa (IS);0;0;0;#DIV/0!;#DIV/0!;0;0
Leptoseris cucullata (LC);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis decactis (MD);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis mirabilis (MM);0;0;0;#DIV/0!;#DIV/0!;0;0
Manicina areolata (MAR);0;0;0;#DIV/0!;#DIV/0!;0;0
Meandrina meandrites (MME);0;0;0;#DIV/0!;#DIV/0!;0;0
Millipora alcicornis (MILA);0;0;0;#DIV/0!;#DIV/0!;0;0
Millipora complanata (MILC);1;1;1;#DIV/0!;#DIV/0!;0,11;0
Millipora squarrosa (MILS);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea annularis (MA);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea cavernosa (MC);1;1;1;#DIV/0!;#DIV/0!;0,11;0
Montastrea faveolata (MFAV);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastrea franksi (MFRN);0;0;0;#DIV/0!;#DIV/0!;0;0
Mussa angulosa (MAN);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia aliciae (MAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia danaana (MDA);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia ferox (MF);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia lamarckiana (ML);0;0;0;#DIV/0!;#DIV/0!;0;0
Oculina diffusa (OD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites astreoides (PA);2;2;2;#DIV/0!;#DIV/0!;0,17;0
Porites branneri (PB);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites divaricata (PD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites furcata (PF);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites porites (PP);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia cubensis (SC);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia lacera (SL);0;0;0;#DIV/0!;#DIV/0!;0;0
Siderastrea radians (SR);4;4;4;#DIV/0!;#DIV/0!;0,26;0,01
Siderastrea siderea (SS);14;14;14;#DIV/0!;#DIV/0!;0,36;0,18
Solenastrea bournoni (SB);0;0;0;#DIV/0!;#DIV/0!;0;0
Solenastrea hyades (SH);0;0;0;#DIV/0!;#DIV/0!;0;0
Stephanocoenia michelinii (SM);0;0;0;#DIV/0!;#DIV/0!;0;0
Tubastraea aurea (TA);0;0;0;#DIV/0!;#DIV/0!;0;0
GORGONIANS (G);;;;;;0;0
Briareum (BRI);0;0;0;#DIV/0!;#DIV/0!;0;0
Erythropodium (ERY);0;0;0;#DIV/0!;#DIV/0!;0;0
Eunicea (EUN);0;0;0;#DIV/0!;#DIV/0!;0;0
Gorgonian (GORG);51;51;51;#DIV/0!;#DIV/0!;0;1
Iciligorgia (ICIL);0;0;0;#DIV/0!;#DIV/0!;0;0
Muricea (MUR);0;0;0;#DIV/0!;#DIV/0!;0;0
Muriceopsis (MOPS);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaura (PAURA);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaurella (PRELA);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudoplexaura (PSDP);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudopterogorgia (PSPT);0;0;0;#DIV/0!;#DIV/0!;0;0
Pterogorgia (PTER);0;0;0;#DIV/0!;#DIV/0!;0;0
SPONGES (S);;;;;;0;0
Sponge (SPO);126;126;126;#DIV/0!;#DIV/0!;0;1
ZOANTHIDS (Z);;;;;;0;0
Palythoa sp. (PAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Zoanthid (ZO);6;6;6;#DIV/0!;#DIV/0!;0;1
MACROALGAE (MA);;;;;;0,79;0,52
Amphiroa (AMP);0;0;0;#DIV/0!;#DIV/0!;0;0
Dictyota (DICT);770;770;770;#DIV/0!;#DIV/0!;0,35;0,23
Halimeda (HALI);26;26;26;#DIV/0!;#DIV/0!;0,07;0
Liagora (LIAG);0;0;0;#DIV/0!;#DIV/0!;0;0
Lobophora (LOBO);0;0;0;#DIV/0!;#DIV/0!;0;0
Macroalgae (MACA);4;4;4;#DIV/0!;#DIV/0!;0,01;0
Padina (PAD);0;0;0;#DIV/0!;#DIV/0!;0;0
Peyssonnelid (PEY);2;2;2;#DIV/0!;#DIV/0!;0,01;0
Porolithon (POR);0;0;0;#DIV/0!;#DIV/0!;0;0
Sargassum (SARG);0;0;0;#DIV/0!;#DIV/0!;0;0
Schizothrix (SCHIZ);0;0;0;#DIV/0!;#DIV/0!;0;0
Stypopodium (STY);0;0;0;#DIV/0!;#DIV/0!;0;0
Turbinaria (TURB);0;0;0;#DIV/0!;#DIV/0!;0;0
Turf (TURF);818;818;818;#DIV/0!;#DIV/0!;0,35;0,25
Wrangelia (WRAN);0;0;0;#DIV/0!;#DIV/0!;0;0
OTHER LIVE (OL);;;;;;0;1
Ascidian (ASC);0;0;0;#DIV/0!;#DIV/0!;0;0
Cyanobacteria (CYAN);0;0;0;#DIV/0!;#DIV/0!;0;0
Halophylla (HALPH);0;0;0;#DIV/0!;#DIV/0!;0;0
Other (O);0;0;0;#DIV/0!;#DIV/0!;0;0
Tunicate (TSOL);0;0;0;#DIV/0!;#DIV/0!;0;0
DEAD CORAL WITH ALGAE (DCA);;;;;;0;0
Dead coral with algae (DCA);3;3;3;#DIV/0!;#DIV/0!;0;1
Dead gorgonian (DG);0;0;0;#DIV/0!;#DIV/0!;0;0
Old dead coral (ODC);0;0;0;#DIV/0!;#DIV/0!;0;0
Recently dead coral (RDC);0;0;0;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);;;;;;0;0
Coralline algae (CALG);9;9;9;#DIV/0!;#DIV/0!;0;1
DISEASED CORALS (DC);;;;;;0;1
Diseased coral (DCOR);0;0;0;#DIV/0!;#DIV/0!;0;0
SAND, PAVEMENT, RUBBLE (SPR);;;;;;0,35;0,2
Pavement (P);0;0;0;#DIV/0!;#DIV/0!;0;0
Rubble (R);3;3;3;#DIV/0!;#DIV/0!;0,24;0,01
Sand (S);24;24;24;#DIV/0!;#DIV/0!;0,1;0,79
UNKNOWNS (U);;;;;;0;1
Unknown (UNK);0;0;0;#DIV/0!;#DIV/0!;0;0
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;0;0;#DIV/0!;#DIV/0!;;0
Tape (TAPE);0;0;0;#DIV/0!;#DIV/0!;;0
Wand (WAND);0;0;0;#DIV/0!;#DIV/0!;;0
;;;;;;;
NOTES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);7;7;7;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
NOTES (occurring in coral);;;;;;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);7;7;7;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
;;;;;;;
Shannon-Weaver Index;0.59;;;;;;
CORAL (C);0.07;;;;;;
GORGONIANS (G);0.1;;;;;;
SPONGES (S);0.18;;;;;;
ZOANTHIDS (Z);0.02;;;;;;
MACROALGAE (MA);0.13;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0.01;;;;;;
CORALLINE ALGAE (CA);0.03;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0.06;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Simpson Index of Diversity (1-D);0.25;;;;;;
CORAL (C);0;;;;;;
GORGONIANS (G);0;;;;;;
SPONGES (S);0;;;;;;
ZOANTHIDS (Z);0;;;;;;
MACROALGAE (MA);0.75;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
