Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
OTHER LIVE (OL);;;;;;;
Ascidian (ASC);0;;0;#DIV/0!;#DIV/0!;;
Cyanobacteria (CYAN);0.27;;0,27;#DIV/0!;#DIV/0!;;
Halophylla (HALPH);0;;0;#DIV/0!;#DIV/0!;;
Other (O);0;;0;#DIV/0!;#DIV/0!;;
Tunicate (TSOL);0.16;;0,16;#DIV/0!;#DIV/0!;;
DEAD CORAL WITH ALGAE (DCA);;;;;;;
Dead coral with algae (DCA);0;;0;#DIV/0!;#DIV/0!;;
Dead gorgonian (DG);0;;0;#DIV/0!;#DIV/0!;;
Old dead coral (ODC);0;;0;#DIV/0!;#DIV/0!;;
Recently dead coral (RDC);0;;0;#DIV/0!;#DIV/0!;;
CORALLINE ALGAE (CA);;;;;;;
Coralline algae (CALG);3.79;;3,79;#DIV/0!;#DIV/0!;;
DISEASED CORALS (DC);;;;;;;
Diseased coral (DCOR);0;;0;#DIV/0!;#DIV/0!;;
SAND, PAVEMENT, RUBBLE (SPR);;;;;;;
Pavement (P);0.43;;0,43;#DIV/0!;#DIV/0!;;
Rubble (R);3.95;;3,95;#DIV/0!;#DIV/0!;;
Sand (S);1.92;;1,92;#DIV/0!;#DIV/0!;;
UNKNOWNS (U);;;;;;;
Unknown (UNK);0;;0;#DIV/0!;#DIV/0!;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;;0;#DIV/0!;#DIV/0!;;
Tape (TAPE);0;;0;#DIV/0!;#DIV/0!;;
Wand (WAND);0;;0;#DIV/0!;#DIV/0!;;
;;;;;;;
NOTES (% of transect);;;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);0;;0;#DIV/0!;#DIV/0!;;
Other disease (OD);0;;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;;0;#DIV/0!;#DIV/0!;;
NOTES (% of coral);;;;;;;
Aspergillus (ASP);0;;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);0;;0;#DIV/0!;#DIV/0!;;
Other disease (OD);0;;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;;0;#DIV/0!;#DIV/0!;;
;;;;;;;
MAJOR CATEGORY (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;SW INDEX;SIMPSON (1-D)
CORAL (C);78;78;78;#DIV/0!;#DIV/0!;2,01;0,82
GORGONIANS (G);469;469;469;#DIV/0!;#DIV/0!;0;0
SPONGES (S);112;112;112;#DIV/0!;#DIV/0!;0;0
ZOANTHIDS (Z);5;5;5;#DIV/0!;#DIV/0!;0,5;0,32
MACROALGAE (MA);1014;1014;1014;#DIV/0!;#DIV/0!;0,89;0,54
OTHER LIVE (OL);8;8;8;#DIV/0!;#DIV/0!;0,66;0,47
DEAD CORAL WITH ALGAE (DCA);0;0;0;#DIV/0!;#DIV/0!;0;1
CORALLINE ALGAE (CA);71;71;71;#DIV/0!;#DIV/0!;0;0
DISEASED CORALS (DC);0;0;0;#DIV/0!;#DIV/0!;0;1
SAND, PAVEMENT, RUBBLE (SPR);118;118;118;#DIV/0!;#DIV/0!;0,84;0,51
UNKNOWNS (U);0;0;0;#DIV/0!;#DIV/0!;0;1
TAPE, WAND, SHADOW (TWS);0;0;0;#DIV/0!;#DIV/0!;;
TOTAL TRANSECT POINTS;1875;1875;;;;;
;;;;;;;
SUBCATEGORIES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;SW INDEX;SIMPSON (1-D)
CORAL (C);;;;;;2,01;0,82
Acropora cervicornis (AC);0;0;0;#DIV/0!;#DIV/0!;0;0
Acropora palmata (AP);0;0;0;#DIV/0!;#DIV/0!;0;0
Acropora prolifera (APR);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia agaricites (AA);2;2;2;#DIV/0!;#DIV/0!;0,09;0
Agaricia fragilis (AF);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia grahamae (AG);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia lamarcki (AL);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia tenuifolia (AT);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia undata (AU);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia breviserialis (CB);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia natans (CN);0;0;0;#DIV/0!;#DIV/0!;0;0
Coral (general) (CORAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Coral juvenile (CORJU);0;0;0;#DIV/0!;#DIV/0!;0;0
Dendrogyra cylindrus (DCY);0;0;0;#DIV/0!;#DIV/0!;0;0
Dichocoenia stellaris (DST);0;0;0;#DIV/0!;#DIV/0!;0;0
Dichocoenia stokesi (DSO);1;1;1;#DIV/0!;#DIV/0!;0,06;0
Diploria clivosa (DC);0;0;0;#DIV/0!;#DIV/0!;0;0
Diploria labyrinthiformis (DL);1;1;1;#DIV/0!;#DIV/0!;0,06;0
Diploria strigosa (DS);0;0;0;#DIV/0!;#DIV/0!;0;0
Eusmilia fastigiata (EF);0;0;0;#DIV/0!;#DIV/0!;0;0
Favia fragum (FF);0;0;0;#DIV/0!;#DIV/0!;0;0
Isophyllia sinuosa (IS);0;0;0;#DIV/0!;#DIV/0!;0;0
Leptoseris cucullata (LC);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis decactis (MD);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis mirabilis (MM);0;0;0;#DIV/0!;#DIV/0!;0;0
Manicina areolata (MAR);0;0;0;#DIV/0!;#DIV/0!;0;0
Meandrina meandrites (MME);1;1;1;#DIV/0!;#DIV/0!;0,06;0
Millipora alcicornis (MILA);15;15;15;#DIV/0!;#DIV/0!;0,32;0,04
Millipora complanata (MILC);25;25;25;#DIV/0!;#DIV/0!;0,36;0,1
Millipora squarrosa (MILS);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea annularis (MA);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea cavernosa (MC);2;2;2;#DIV/0!;#DIV/0!;0,09;0
Montastrea faveolata (MFAV);5;5;5;#DIV/0!;#DIV/0!;0,18;0
Montastrea franksi (MFRN);11;11;11;#DIV/0!;#DIV/0!;0,28;0,02
Mussa angulosa (MAN);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia aliciae (MAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia danaana (MDA);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia ferox (MF);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia lamarckiana (ML);1;1;1;#DIV/0!;#DIV/0!;0,06;0
Oculina diffusa (OD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites astreoides (PA);7;7;7;#DIV/0!;#DIV/0!;0,22;0,01
Porites branneri (PB);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites divaricata (PD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites furcata (PF);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites porites (PP);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia cubensis (SC);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia lacera (SL);0;0;0;#DIV/0!;#DIV/0!;0;0
Siderastrea radians (SR);1;1;1;#DIV/0!;#DIV/0!;0,06;0
Siderastrea siderea (SS);6;6;6;#DIV/0!;#DIV/0!;0,2;0,01
Solenastrea bournoni (SB);0;0;0;#DIV/0!;#DIV/0!;0;0
Solenastrea hyades (SH);0;0;0;#DIV/0!;#DIV/0!;0;0
Stephanocoenia michelinii (SM);0;0;0;#DIV/0!;#DIV/0!;0;0
Tubastraea aurea (TA);0;0;0;#DIV/0!;#DIV/0!;0;0
GORGONIANS (G);;;;;;0;0
Briareum (BRI);0;0;0;#DIV/0!;#DIV/0!;0;0
Erythropodium (ERY);0;0;0;#DIV/0!;#DIV/0!;0;0
Eunicea (EUN);0;0;0;#DIV/0!;#DIV/0!;0;0
Gorgonian (GORG);469;469;469;#DIV/0!;#DIV/0!;0;1
Iciligorgia (ICIL);0;0;0;#DIV/0!;#DIV/0!;0;0
Muricea (MUR);0;0;0;#DIV/0!;#DIV/0!;0;0
Muriceopsis (MOPS);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaura (PAURA);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaurella (PRELA);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudoplexaura (PSDP);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudopterogorgia (PSPT);0;0;0;#DIV/0!;#DIV/0!;0;0
Pterogorgia (PTER);0;0;0;#DIV/0!;#DIV/0!;0;0
SPONGES (S);;;;;;0;0
Sponge (SPO);112;112;112;#DIV/0!;#DIV/0!;0;1
ZOANTHIDS (Z);;;;;;0,5;0,32
Palythoa sp. (PAL);1;1;1;#DIV/0!;#DIV/0!;0,32;0,04
Zoanthid (ZO);4;4;4;#DIV/0!;#DIV/0!;0,18;0,64
MACROALGAE (MA);;;;;;0,89;0,54
Amphiroa (AMP);0;0;0;#DIV/0!;#DIV/0!;0;0
Dictyota (DICT);396;396;396;#DIV/0!;#DIV/0!;0,37;0,15
Halimeda (HALI);2;2;2;#DIV/0!;#DIV/0!;0,01;0
Liagora (LIAG);0;0;0;#DIV/0!;#DIV/0!;0;0
Lobophora (LOBO);0;0;0;#DIV/0!;#DIV/0!;0;0
Macroalgae (MACA);58;58;58;#DIV/0!;#DIV/0!;0,16;0
Padina (PAD);0;0;0;#DIV/0!;#DIV/0!;0;0
Peyssonnelid (PEY);1;1;1;#DIV/0!;#DIV/0!;0,01;0
Porolithon (POR);0;0;0;#DIV/0!;#DIV/0!;0;0
Sargassum (SARG);0;0;0;#DIV/0!;#DIV/0!;0;0
Schizothrix (SCHIZ);0;0;0;#DIV/0!;#DIV/0!;0;0
Stypopodium (STY);0;0;0;#DIV/0!;#DIV/0!;0;0
Turbinaria (TURB);0;0;0;#DIV/0!;#DIV/0!;0;0
Turf (TURF);556;556;556;#DIV/0!;#DIV/0!;0,33;0,3
Wrangelia (WRAN);1;1;1;#DIV/0!;#DIV/0!;0,01;0
OTHER LIVE (OL);;;;;;0,66;0,47
Ascidian (ASC);0;0;0;#DIV/0!;#DIV/0!;0;0
Cyanobacteria (CYAN);5;5;5;#DIV/0!;#DIV/0!;0,29;0,39
Halophylla (HALPH);0;0;0;#DIV/0!;#DIV/0!;0;0
Other (O);0;0;0;#DIV/0!;#DIV/0!;0;0
Tunicate (TSOL);3;3;3;#DIV/0!;#DIV/0!;0,37;0,14
DEAD CORAL WITH ALGAE (DCA);;;;;;0;1
Dead coral with algae (DCA);0;0;0;#DIV/0!;#DIV/0!;0;0
Dead gorgonian (DG);0;0;0;#DIV/0!;#DIV/0!;0;0
Old dead coral (ODC);0;0;0;#DIV/0!;#DIV/0!;0;0
Recently dead coral (RDC);0;0;0;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);;;;;;0;0
Coralline algae (CALG);71;71;71;#DIV/0!;#DIV/0!;0;1
DISEASED CORALS (DC);;;;;;0;1
Diseased coral (DCOR);0;0;0;#DIV/0!;#DIV/0!;0;0
SAND, PAVEMENT, RUBBLE (SPR);;;;;;0,84;0,51
Pavement (P);8;8;8;#DIV/0!;#DIV/0!;0,18;0
Rubble (R);74;74;74;#DIV/0!;#DIV/0!;0,29;0,39
Sand (S);36;36;36;#DIV/0!;#DIV/0!;0,36;0,09
UNKNOWNS (U);;;;;;0;1
Unknown (UNK);0;0;0;#DIV/0!;#DIV/0!;0;0
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;0;0;#DIV/0!;#DIV/0!;;0
Tape (TAPE);0;0;0;#DIV/0!;#DIV/0!;;0
Wand (WAND);0;0;0;#DIV/0!;#DIV/0!;;0
;;;;;;;
NOTES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);0;0;0;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
NOTES (occurring in coral);;;;;;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);0;0;0;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
;;;;;;;
Shannon-Weaver Index;1.32;;;;;;
CORAL (C);0.13;;;;;;
GORGONIANS (G);0.35;;;;;;
SPONGES (S);0.17;;;;;;
ZOANTHIDS (Z);0.02;;;;;;
MACROALGAE (MA);0.33;;;;;;
OTHER LIVE (OL);0.02;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0.12;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0.17;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Simpson Index of Diversity (1-D);0.63;;;;;;
CORAL (C);0;;;;;;
GORGONIANS (G);0.06;;;;;;
SPONGES (S);0;;;;;;
ZOANTHIDS (Z);0;;;;;;
MACROALGAE (MA);0.29;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
